hours,NO2,Cells/ml
0,4,9.16E+04
55.75,39,3.06E+05
79.5,184,7.76E+05
94.75,391,2.02E+06
104.75,619,8.29E+06
119.5,1180,1.97E+07
130.25,1809,2.79E+07
